strehl,fwhm,airmass,az,mass,dimm,wind_speed,wind_direction,temperature,relative_humidity,pressure,train,strehl_RF_pred,strehl_RF_err,strehl_RF_percent_err,fwhm_RF_pred,fwhm_RF_err,fwhm_RF_percent_err
0.331,59.09,1.55908,166.16518,0.06,0.4,1.0,119.0,3.52,48.0,618.2,True,,,,59.60690000000004,-0.5169000000000352,-0.008747673041124305
0.312,61.04,1.55759,166.39213,0.06,0.4,1.0,119.0,3.52,48.0,618.2,True,,,,60.3483,0.6916999999999973,0.011331913499344648
0.316,57.67,1.55611,166.62168,0.06,0.45,1.0,119.0,3.5,47.0,618.2,True,,,,60.18930000000003,-2.5193000000000296,-0.043684758106468345
0.23800000000000002,73.3,1.55465,166.85421000000005,0.06,0.45,2.0,119.0,3.47,47.0,618.3,True,,,,67.73470000000006,5.565299999999937,0.07592496589358713
0.26899999999999996,65.81,1.5531,167.10523,0.06,0.42,1.0,120.0,3.45,50.0,618.3,False,,,,60.59019999999999,5.2198000000000135,0.07931621334143768
0.33899999999999997,58.32,1.55171,167.33548000000005,0.06,0.49,1.0,119.0,3.41,50.0,618.3,True,,,,59.290899999999965,-0.9708999999999648,-0.016647805212619424
0.299,59.41,1.55003,167.62265,0.06,0.49,1.0,119.0,3.38,48.0,618.3,True,,,,59.838699999999946,-0.42869999999994945,-0.007215956909610326
0.31,60.92,1.54872,167.8518,0.06,0.45,1.0,120.0,3.36,44.0,618.3,True,,,,60.61780000000002,0.3021999999999849,0.004960604070912425
0.316,59.94,1.54741,168.08527,0.06,0.45,1.0,120.0,3.35,38.0,618.3,True,,,,60.659999999999954,-0.7199999999999562,-0.012012012012011282
0.295,63.06,1.54614,168.31732,0.06,0.38,1.0,120.0,3.35,38.0,618.3,True,,,,61.601500000000044,1.4584999999999582,0.02312876625436026
0.306,61.08,1.54489,168.55097,0.06,0.32,1.0,120.0,3.35,35.0,618.3,True,,,,61.304999999999964,-0.2249999999999659,-0.003683693516698852
