file,strehl,rms_err,fwhm,mjd,epoch,airmass,itime,coadds,fwiname,az,dmgain,dtgain,xref,yref,xstrehl,ystrehl,wsfrrt,aolbfwhm,lsamppwr,lgrmswf,aoaoamed,tubetemp,mass_mjd,dimm_mjd,masspro_mjd,cfht_mjd,mass,dimm,masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,wind_speed,wind_direction,temperature,relative_humidity,pressure
c0073.fits,0.123,489.2,99.62,53581.29555,05jullgs,1.53285,2.8,10,Kp,171.27194,0.6,0.5,632.623,589.4680000000001,566.977,879.363,201,,14.333333999999999,122.0,140,1.4904899999999999,,,,53581.295138888876,,,,,,,,,,10.43,122.0,1.1,11.0,615.8
c0076.fits,0.102,510.5,100.18,53581.29847,05jullgs,1.52852,2.8,10,Kp,172.47333,0.6,0.5,634.201,590.644,568.751,880.3380000000001,201,,13.952380999999999,181.5,159,1.45776,,,,53581.298611111124,,,,,,,,,,10.43,120.0,1.2,12.0,615.8
c0079.fits,0.133,480.1,94.29,53581.30105,05jullgs,1.52525,2.8,10,Kp,173.543,0.6,0.5,634.688,590.7080000000001,569.05,880.558,201,,17.142857,151.4,142,1.4436200000000001,,,,53581.30208333334,,,,,,,,,,10.43,119.0,1.2,12.0,615.8
c0082.fits,0.126,487.0,98.41,53581.30361,05jullgs,1.52253,2.8,10,Kp,174.60336,0.6,0.5,634.761,589.86,569.225,879.748,201,,14.095238,145.2,107,1.41559,,,,53581.30208333334,,,,,,,,,,10.43,119.0,1.2,12.0,615.8
c0085.fits,0.145,470.1,87.87,53581.30612,05jullgs,1.52034,2.8,10,Kp,175.64831,0.6,0.5,633.339,589.131,567.74,878.985,201,,13.714285999999998,148.0,110,1.40373,,,,53581.305555555555,,,,,,,,,,9.57,124.0,1.3,12.0,615.8
c0088.fits,0.098,515.8,110.6,53581.30968,05jullgs,1.51803,2.8,10,Kp,177.13685,0.6,0.5,631.143,588.177,565.604,878.01,301,,13.857142999999999,421.1,102,1.38816,,,,53581.30902777778,,,,,,,,,,6.96,129.0,1.2,11.0,615.9
c0091.fits,0.114,497.8,101.33,53581.31217,05jullgs,1.517,2.8,10,Kp,178.18038,0.6,0.5,632.066,589.145,566.475,879.0219999999999,301,,14.047619000000001,124.1,119,1.37012,,,,53581.3125,,,,,,,,,,9.57,126.0,1.2,10.0,615.9
c0094.fits,0.118,494.6,96.84,53581.3149,05jullgs,1.51639,2.8,10,Kp,179.32083,0.6,0.5,636.383,589.54,570.842,879.543,301,,15.619048000000001,186.6,122,1.3685100000000001,,,,53581.31597222222,,,,,,,,,,11.3,127.0,1.3,10.0,615.8
c0097.fits,0.129,483.6,93.49,53581.31744,05jullgs,1.51633,2.8,10,Kp,180.38795,0.6,0.5,637.732,590.771,571.961,880.8439999999999,301,,16.428572,109.7,179,1.35966,,,,53581.31597222222,,,,,,,,,,11.3,127.0,1.3,10.0,615.8
c0100.fits,0.09,524.6,112.72,53581.31995,05jullgs,1.51674,2.8,10,Kp,181.43794,0.45,0.5,633.8340000000001,590.064,568.239,879.8839999999999,301,,14.0,139.7,77,1.34228,,,,53581.319444444445,,,,,,,,,,8.7,116.0,1.3,12.0,615.8
c0103.fits,0.154,462.6,86.08,53581.32241,05jullgs,1.5176100000000001,2.8,10,Kp,182.47001,0.45,0.5,635.566,589.986,570.019,879.9630000000001,301,,15.190476,150.4,110,1.32799,,,,53581.32291666666,,,,,,,,,,9.57,128.0,1.4,10.0,615.8
c0106.fits,0.133,480.6,85.61,53581.32501,05jullgs,1.51902,2.8,10,Kp,183.55861000000002,0.45,0.5,638.685,590.193,572.766,880.0369999999999,301,,11.714286,211.3,98,1.32112,,,,53581.326388888876,,,,,,,,,,10.43,127.0,1.4,10.0,615.9
c0109.fits,0.14400000000000002,470.4,88.27,53581.32759,05jullgs,1.52091,2.8,10,Kp,184.63378,0.45,0.5,636.514,589.903,570.886,879.941,301,,11.714286,148.6,105,1.30516,,,,53581.326388888876,,,,,,,,,,10.43,127.0,1.4,10.0,615.9
c0112.fits,0.119,492.9,93.45,53581.33006,05jullgs,1.5232,2.8,10,Kp,185.66072,0.45,0.5,636.589,590.521,570.91,880.573,301,,10.238095,159.2,71,1.28903,,,,53581.329861111124,,,,,,,,,,11.3,132.0,1.3,10.0,615.8
c0115.fits,0.111,501.1,99.71,53581.33253,05jullgs,1.52597,2.8,10,Kp,186.68823999999998,0.45,0.5,637.4,589.577,571.73,879.4580000000001,301,,10.238095,169.8,83,1.3048899999999999,,,,53581.33333333334,,,,,,,,,,10.43,129.0,1.3,10.0,615.8
c0121.fits,0.14,473.9,89.7,53581.33758,05jullgs,1.53308,2.8,10,Kp,188.7704,0.45,0.5,634.98,589.356,569.4169999999999,879.299,301,,16.0,213.3,126,1.2852,,,,53581.336805555555,,,,,,,,,,9.57,129.0,1.3,10.0,615.8
c0124.fits,0.103,509.4,115.97,53581.34005,05jullgs,1.53728,2.8,10,Kp,189.77889,0.4,0.5,636.383,590.114,570.661,879.953,301,,15.047619000000001,141.3,85,1.27644,,,,53581.34027777778,,,,,,,,,,10.43,133.0,1.4,10.0,615.8
