strehl,fwhm,airmass,az,mass,dimm,wind_speed,wind_direction,temperature,relative_humidity,pressure
0.331,59.09,1.55908,166.16518,0.06,0.4,1.0,119.0,3.52,48.0,618.2
0.312,61.04,1.55759,166.39213,0.06,0.4,1.0,119.0,3.52,48.0,618.2
0.316,57.67,1.55611,166.62168,0.06,0.45,1.0,119.0,3.5,47.0,618.2
0.238,73.3,1.55465,166.85421000000002,0.06,0.45,2.0,119.0,3.47,47.0,618.3
0.269,65.81,1.5531,167.10523,0.06,0.42,1.0,120.0,3.45,50.0,618.3
0.339,58.32,1.5517100000000001,167.33548000000002,0.06,0.49,1.0,119.0,3.41,50.0,618.3
0.299,59.41,1.55003,167.62265,0.06,0.49,1.0,119.0,3.38,48.0,618.3
0.31,60.92,1.54872,167.8518,0.06,0.45,1.0,120.0,3.36,44.0,618.3
0.316,59.94,1.54741,168.08527,0.06,0.45,1.0,120.0,3.35,38.0,618.3
0.295,63.06,1.54614,168.31732,0.06,0.38,1.0,120.0,3.35,38.0,618.3
0.306,61.08,1.5448899999999999,168.55097,0.06,0.32,1.0,120.0,3.35,35.0,618.3
0.312,60.47,1.54367,168.78489,0.06,0.32,1.0,120.0,3.36,35.0,618.3
0.336,58.63,1.54211,169.09126,0.06,0.39,1.0,120.0,3.37,33.0,618.3
0.35,56.65,1.54096,169.32488,0.06,0.39,1.0,120.0,3.38,32.0,618.3
0.35700000000000004,55.96,1.53983,169.55851,0.06,0.38,0.0,120.0,3.41,30.0,618.3
0.354,56.93,1.53874,169.79246,0.06,0.38,0.0,120.0,3.43,30.0,618.3
0.335,59.45,1.53766,170.02764,0.06,0.35,0.0,120.0,3.43,30.0,618.3
0.304,62.2,1.5286,172.32881,0.06,0.35,0.0,119.0,3.61,13.0,618.4
0.311,58.49,1.52775,172.58456999999999,0.06,0.35,0.0,119.0,3.62,12.0,618.4
0.334,56.11,1.52699,172.82173,0.06,0.35,0.0,120.0,3.62,11.0,618.4
0.331,58.4,1.52626,173.05919,0.06,0.36,0.0,120.0,3.64,10.0,618.4
0.358,56.19,1.52554,173.2999,0.06,0.36,0.0,119.0,3.66,10.0,618.4
0.309,60.33,1.52485,173.53905,0.06,0.35,0.0,119.0,3.69,9.0,618.5
0.34700000000000003,54.56,1.52405,173.83077,0.06,0.35,0.0,119.0,3.73,9.0,618.5
0.329,55.81,1.52339,174.08371,0.06,0.32,0.0,119.0,3.76,9.0,618.5
0.302,58.59,1.5227899999999999,174.3229,0.06,0.32,0.0,119.0,3.76,9.0,618.5
0.319,56.92,1.52221,174.56277,0.06,0.38,0.0,111.0,3.78,8.0,618.5
0.313,60.18,1.52166,174.80286,0.06,0.31,1.0,109.0,3.8,8.0,618.5
0.305,58.65,1.5211299999999999,175.04356,0.06,0.31,2.0,107.0,3.81,8.0,618.5
0.265,62.79,1.5205,175.34872,0.06,0.39,3.0,101.0,3.8,8.0,618.5
0.301,56.28,1.52003,175.58723999999998,0.06,0.39,4.0,99.0,3.78,8.0,618.5
0.284,58.08,1.51959,175.82889,0.06,0.37,4.0,98.0,3.74,8.0,618.5
0.325,54.4,1.5191700000000001,176.0701,0.06,0.37,4.0,98.0,3.74,8.0,618.5
0.336,54.37,1.5187700000000002,176.31097,0.06,0.43,3.0,101.0,3.71,8.0,618.5
0.308,55.46,1.51841,176.55176,0.06,0.42,4.0,100.0,3.67,8.0,618.5
0.295,56.54,1.51799,176.84843999999998,0.06,0.42,5.0,101.0,3.64,8.0,618.5
0.324,55.08,1.51768,177.08794,0.06,0.44,4.0,107.0,3.61,8.0,618.5
0.309,54.93,1.51737,177.34561000000002,0.08,0.44,4.0,119.0,3.58,8.0,618.5
0.304,56.56,1.51711,177.58776,0.08,0.42,3.0,115.0,3.57,8.0,618.5
0.335,54.85,1.5168700000000002,177.8288,0.08,0.42,3.0,106.0,3.57,8.0,618.5
0.315,55.67,1.51665,178.0865,0.08,0.48,3.0,106.0,3.57,8.0,618.5
0.335,55.58,1.51642,178.38608,0.08,0.48,4.0,98.0,3.57,8.0,618.5
0.298,56.78,1.51627,178.62778,0.08,0.48,4.0,105.0,3.57,8.0,618.5
0.338,54.82,1.51614,178.86891,0.08,0.39,4.0,103.0,3.56,8.0,618.5
0.306,55.25,1.51603,179.12552,0.08,0.39,4.0,100.0,3.56,8.0,618.5
0.269,55.24,1.51595,179.40083,0.08,0.45,4.0,103.0,3.57,8.0,618.5
0.317,56.37,1.5159,179.64129,0.08,0.34,4.0,108.0,3.57,8.0,618.5
0.304,57.59,1.51587,179.95295,0.08,0.34,4.0,109.0,3.58,8.0,618.5
0.284,58.57,1.51587,180.19225,0.08,0.43,3.0,110.0,3.58,8.0,618.5
0.267,57.77,1.51591,180.43401,0.08,0.43,3.0,110.0,3.58,8.0,618.5
0.246,57.74,1.51596,180.67588,0.08,0.31,3.0,110.0,3.61,8.0,618.5
0.252,57.91,1.51605,180.93461000000002,0.08,0.47,3.0,110.0,3.62,8.0,618.5
0.266,58.84,1.51616,181.17469,0.08,0.47,3.0,107.0,3.64,8.0,618.5
0.268,58.36,1.51633,181.47603999999998,0.08,0.51,4.0,108.0,3.65,8.0,618.5
0.271,57.11,1.5165,181.71595,0.08,0.51,3.0,108.0,3.65,8.0,618.5
0.308,54.09,1.51668,181.95708,0.08,0.41,4.0,108.0,3.66,8.0,618.5
0.314,56.41,1.5169,182.19894,0.08,0.41,4.0,107.0,3.64,8.0,618.5
0.289,58.05,1.51714,182.43938,0.08,0.46,4.0,107.0,3.64,8.0,618.5
0.285,59.19,1.5174,182.68125,0.08,0.46,4.0,110.0,3.63,9.0,618.5
0.246,62.15,1.51778,182.99265,0.08,0.46,3.0,111.0,3.6,9.0,618.5
0.303,57.02,1.5181,183.23193999999998,0.11,0.36,3.0,112.0,3.57,9.0,618.5
0.295,58.84,1.51844,183.47295,0.11,0.36,2.0,112.0,3.55,9.0,618.5
0.247,65.24,1.51881,183.7138,0.11,0.4,2.0,111.0,3.53,9.0,618.6
0.268,61.7,1.51921,183.95423,0.11,0.45,3.0,112.0,3.52,9.0,618.6
0.29100000000000004,60.16,1.51963,184.19458,0.11,0.45,3.0,112.0,3.52,9.0,618.6
0.299,55.71,1.52021,184.50793000000002,0.11,0.35,3.0,130.0,3.5,9.0,618.6
0.305,55.33,1.5206899999999999,184.74685,0.11,0.35,4.0,127.0,3.49,8.0,618.6
0.32,55.57,1.52119,184.98789,0.11,0.35,4.0,134.0,3.48,8.0,618.6
0.328,55.09,1.5217200000000002,185.22732,0.11,0.37,3.0,122.0,3.46,8.0,618.6
0.314,55.03,1.5222799999999999,185.46751,0.11,0.37,3.0,124.0,3.44,8.0,618.6
0.318,55.12,1.52286,185.70735,0.11,0.43,4.0,134.0,3.41,8.0,618.6
0.311,56.66,1.5236399999999999,186.01386000000002,0.11,0.43,4.0,134.0,3.37,8.0,618.6
0.321,54.26,1.5242799999999999,186.25201,0.11,0.35,4.0,131.0,3.34,8.0,618.6
0.29,58.79,1.52495,186.4921,0.11,0.35,4.0,131.0,3.34,8.0,618.6
0.271,61.25,1.52569,186.75046,0.11,0.31,4.0,130.0,3.33,9.0,618.6
0.234,66.86,1.52641,186.98893,0.11,0.28,3.0,130.0,3.32,9.0,618.6
0.249,63.27,1.52716,187.22887,0.11,0.28,3.0,126.0,3.33,9.0,618.6
