comp0,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,strehl,fwhm,train,strehl_ANN_pred,strehl_ANN_err,strehl_ANN_percent_err,fwhm_ANN_pred,fwhm_ANN_err,fwhm_ANN_percent_err
-0.8598182864807979,-1.1741637491763008,0.17759492496796855,-1.6336013950889994,1.1400022669415262,-0.3015707914505269,1.3786173261558072,0.5453668688797909,0.5423195550947489,0.331,59.09,True,0.4040091380497173,-0.07300913804971726,-0.22057141404748415,65.4497061637403,-6.359706163740299,-0.10762745242410388
-0.8544174150793706,-1.1892183966903165,0.1835353595065456,-1.62483185450322,1.1422296696278895,-0.3005338546409347,1.370886267273978,0.5463352604260627,0.5423033805532579,0.312,61.04,True,0.40385086475985654,-0.09185086475985654,-0.29439379730723253,65.59374624548379,-4.5537462454837865,-0.07460265801906596
-0.7672163238385128,-1.1385349999627663,0.153751105727399,-1.4065228842470607,1.1299949125747093,-0.33438087943877826,1.484725359440249,0.476286126210669,0.514791080964228,0.316,57.67,True,0.3961092741488217,-0.08010927414882169,-0.25351036123044834,65.23350743065089,-7.563507430650887,-0.1311515073808026
-0.6984593273476623,-1.1238752510800696,0.08263805369369434,-1.4049849463490658,1.1304691212002522,-0.3824400518259144,1.3870865534414138,0.4634879194048706,0.514487869409082,0.238,73.3,True,0.3962827935595329,-0.1582827935595329,-0.6650537544518189,65.30928064482565,7.990719355174349,0.1090139066190225
-0.7338984929988808,-1.2572849891066615,0.14502085892575245,-1.6056223795721145,1.25920835972449,-0.304684048301592,1.4367406352602947,0.5199488896625002,0.5291246501233323,0.269,65.81,False,0.40286468330894865,-0.13386468330894863,-0.4976382279143071,65.98139944122876,-0.1713994412287576,-0.002604458915495481
-0.5705495112958572,-1.2110736435039402,0.08576874112191235,-1.3576522457784688,1.2886512683718514,-0.34907341266175235,1.63254380123631,0.4245517391563792,0.5187592847297423,0.339,58.32,True,0.39238540984598336,-0.053385409845983334,-0.15747908509139624,66.01655840688129,-7.696558406881287,-0.1319711660987875
-0.6073001726781769,-1.187408804082347,0.12153659230840005,-1.2817139279766951,1.2063816362408502,-0.3574141421329923,1.5819593370531015,0.4198171516452918,0.4663918709168564,0.299,59.41,True,0.3932068744523244,-0.0942068744523244,-0.31507315870342606,64.78131528076862,-5.371315280768627,-0.09041096247716929
-0.7854580855696041,-1.1524041990449676,0.21876292114964632,-1.2753875753663386,1.028228118189347,-0.3480092457875553,1.3740153601500975,0.4649142288158444,0.3721984306670244,0.31,60.92,True,0.40048101119037777,-0.09048101119037777,-0.2918742296463799,62.35468634082705,-1.4346863408270494,-0.023550333894075005
-0.9303427171990384,-1.0475082063081522,0.29181076010264284,-1.05812596409592,0.7770637550410394,-0.36570964134298056,1.241978042369546,0.4555682884827802,0.2411000470315001,0.316,59.94,True,0.39169111831791403,-0.07569111831791403,-0.2395288554364368,60.35831544066318,-0.4183154406631857,-0.006978902913967062
-1.0681968319743185,-1.1240086319327156,0.3691121048910931,-1.2986312426081257,0.739723260326409,-0.3230555582361726,1.0355340806256366,0.5504908079325532,0.24070342865327224,0.295,63.06,True,0.39878972058959217,-0.10378972058959218,-0.35182956132065146,60.78685504147044,2.2731449585295636,0.036047335212964854
