mass,mjd
0.18,55384.27186342593
0.15,55384.27291666667
0.09,55384.27395833333
0.1,55384.27538194445
0.2,55384.27744212963
0.19,55384.2784837963
0.16,55384.27953703704
0.2,55384.28056712963
0.16,55384.28160879629
0.37,55384.28265046296
0.29,55384.28369212963
0.28,55384.28472222222
0.24,55384.285775462966
0.46,55384.28680555556
0.25,55384.28784722222
0.28,55384.28888888889
0.25,55384.28994212963
0.22,55384.290972222225
0.4,55384.29201388889
0.35,55384.29306712963
0.41,55384.29859953704
0.41,55384.30069444444
0.36,55384.30173611111
0.54,55384.3028125
0.52,55384.30386574074
0.36,55384.30490740741
0.37,55384.30594907407
0.65,55384.425532407404
0.59,55384.42658564815
0.52,55384.42765046296
0.38,55384.42869212963
0.49,55384.42974537037
0.48,55384.43079861111
0.41,55384.431863425925
0.34,55384.43289351852
0.35,55384.433958333335
0.34,55384.435011574074
0.32,55384.43605324074
0.26,55384.437106481484
0.31,55384.438159722224
0.31,55384.43922453704
0.26,55384.44027777778
0.32,55384.44131944444
0.39,55384.4434375
0.54,55384.444502314815
0.28,55384.446608796294
0.28,55384.447650462964
0.33,55384.44871527778
0.53,55384.44976851852
0.25,55384.451875
0.21,55384.452939814815
0.21,55384.453993055555
0.32,55384.453993055555
0.25,55384.455034722225
0.28,55384.456099537034
0.23,55384.45715277778
0.22,55384.46074074074
0.3,55384.46179398148
0.56,55384.462847222225
0.6,55384.463900462964
0.56,55384.464953703704
0.36,55384.46706018518
0.29,55384.46916666667
0.28,55384.47127314815
0.26,55384.473391203705
0.3,55384.47445601852
0.25,55384.475497685184
0.25,55384.47766203704
0.23,55384.47871527778
0.26,55384.479780092595
0.23,55384.480844907404
0.2,55384.48190972222
0.18,55384.48296296296
0.14,55384.48402777778
0.15,55384.48509259259
0.17,55384.48615740741
0.19,55384.487222222226
0.18,55384.488287037035
0.24,55384.489340277774
0.28,55384.49040509259
0.3,55384.49145833333
0.23,55384.49251157408
0.19,55384.493576388886
0.18,55384.4946412037
0.16,55384.49568287037
0.16,55384.49675925926
0.16,55384.497824074075
0.2,55384.499930555554
0.19,55384.50099537037
0.1,55384.50204861111
0.13,55384.50310185185
0.15,55384.50523148148
0.15,55384.5062962963
0.17,55384.50733796296
0.22,55384.50840277778
0.14,55384.50945601852
0.16,55384.51157407407
0.16,55384.512650462966
0.16,55384.513703703706
0.27,55384.51849537037
0.23,55384.52275462963
0.13,55384.52380787037
0.2,55384.52699074074
0.37,55384.5291087963
0.19,55384.53016203704
0.32,55384.531226851854
0.52,55384.53229166667
0.55,55384.534421296295
0.56,55384.53659722222
0.51,55384.53765046296
0.47,55384.53871527778
0.38,55384.54083333333
0.36,55384.542974537035
0.07,55384.54403935185
0.27,55384.54509259259
0.25,55384.546168981484
0.36,55384.54828703704
0.21,55384.54934027778
0.17,55384.550416666665
0.17,55384.551469907405
0.23,55384.55253472222
0.27,55384.55359953704
0.28,55384.554664351854
0.19,55384.55678240741
0.33,55384.557858796295
0.24,55384.558912037035
0.28,55384.55997685185
0.14,55384.56105324074
0.19,55384.562106481484
0.18,55384.5653125
0.23,55384.56637731481
0.24,55384.56743055556
0.06,55384.56849537037
0.18,55384.57168981482
0.11,55384.57487268518
0.31,55384.57487268518
0.29,55384.5759375
0.26,55384.577002314814
0.31,55384.57806712963
0.26,55384.57914351852
0.31,55384.58020833333
0.23,55384.58127314815
0.17,55384.582349537035
0.19,55384.58341435185
0.16,55384.584502314814
0.06,55384.58563657408
0.2,55384.58675925926
0.23,55384.59003472222
0.23,55384.59216435185
0.16,55384.59216435185
0.22,55384.59644675926
0.16,55384.59751157407
0.19,55384.598599537036
