dimm,mjd
1.23,57524.24737268518
1.38,57524.248402777775
1.36,57524.25046296296
1.35,57524.25150462963
1.19,57524.252534722225
1.51,57524.25357638889
1.48,57524.25461805556
1.34,57524.25565972222
1.05,57524.25667824074
1.51,57524.25770833333
1.13,57524.259467592594
1.24,57524.26050925926
0.99,57524.26153935185
1.33,57524.26362268518
1.01,57524.264652777776
1.22,57524.26568287037
1.29,57524.26672453704
1.02,57524.26775462963
1.21,57524.26878472222
1.04,57524.26982638889
1.05,57524.27190972222
0.96,57524.272939814815
1.04,57524.273981481485
1.18,57524.27502314815
1.27,57524.27605324074
0.95,57524.277094907404
1.08,57524.27814814815
1.01,57524.27918981481
1.1,57524.28021990741
1.3,57524.28126157408
1.44,57524.28230324074
1.46,57524.28335648148
1.63,57524.28438657407
1.28,57524.28542824074
1.23,57524.286469907405
1.29,57524.2875
1.29,57524.28855324074
1.51,57524.28959490741
1.23,57524.29063657407
1.34,57524.29167824074
1.15,57524.29273148148
1.3,57524.293761574074
1.45,57524.294803240744
1.19,57524.29584490741
1.45,57524.29688657408
1.25,57524.29792824074
1.17,57524.29896990741
1.23,57524.30001157407
0.97,57524.30105324074
1.0,57524.302083333336
1.01,57524.303136574075
0.82,57524.30417824074
0.99,57524.30521990741
0.99,57524.30626157407
1.04,57524.30730324074
1.18,57524.308344907404
0.88,57524.30940972222
0.84,57524.31043981481
0.95,57524.31149305555
1.33,57524.31253472222
1.34,57524.31670138889
1.27,57524.31773148148
1.09,57524.318773148145
0.92,57524.319814814815
0.84,57524.320856481485
0.88,57524.32189814815
0.86,57524.32292824074
0.79,57524.32398148148
0.75,57524.32502314815
0.85,57524.32606481481
0.95,57524.32710648148
1.03,57524.328148148146
0.87,57524.329201388886
1.02,57524.330243055556
1.08,57524.33128472222
1.16,57524.33232638889
1.28,57524.3344212963
1.59,57524.33546296296
1.32,57524.33650462963
1.07,57524.33755787037
0.98,57524.33859953703
0.89,57524.33962962963
1.18,57524.340682870374
1.43,57524.34171296296
0.88,57524.34276620371
1.05,57524.34380787037
0.97,57524.34484953704
0.89,57524.3458912037
0.68,57524.34694444444
0.8,57524.34798611111
0.8,57524.349027777775
0.78,57524.350069444445
0.91,57524.351122685184
1.04,57524.352164351854
0.89,57524.353217592594
0.85,57524.35427083333
