masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,mjd
2.45e-14,1.9600000000000003e-21,2.08e-15,1.7100000000000003e-13,9.77e-15,4.68e-14,0.55,57960.26863425926
9.1e-15,7.41e-15,1.62e-14,1.1e-13,3.73e-14,2.7e-14,0.49,57960.26969907407
3.71e-22,2.38e-15,3.07e-14,1.35e-13,1.56e-14,2.6e-14,0.49,57960.27076388889
9.92e-22,2.2899999999999997e-15,2.64e-16,1.31e-13,6.62e-15,2.75e-14,0.43,57960.27181712963
8.219999999999999e-22,4.82e-15,2.48e-15,1.2700000000000001e-13,1.08e-14,2.84e-14,0.44,57960.27291666667
9.89e-22,7.32e-15,1.64e-14,6.67e-14,2.42e-14,1.42e-14,0.37,57960.27402777778
1.14e-14,7.28e-17,1.85e-14,6.69e-14,8.08e-15,1.72e-14,0.36,57960.27513888889
4.840000000000001e-22,8.54e-17,1.3300000000000002e-16,5.96e-14,1.18e-14,2.17e-14,0.3,57960.27626157407
6.27e-23,1.65e-15,5.87e-19,3.54e-14,3.61e-14,1.74e-14,0.3,57960.27732638889
6.12e-24,7.729999999999999e-15,1.38e-14,8.31e-14,2.61e-14,1.7e-14,0.4,57960.27841435185
4.48e-14,2.12e-22,6.19e-21,1.3e-13,1.4800000000000003e-13,3.88e-14,0.69,57960.27947916667
3.8299999999999997e-23,4.69e-15,8.01e-20,7.03e-14,1.3200000000000002e-13,2.95e-14,0.53,57960.28166666667
1.1100000000000001e-21,3.2299999999999996e-15,3.4e-20,8.41e-14,8.72e-14,3.09e-14,0.49,57960.28392361111
5.41e-14,7.75e-15,9.43e-21,6.92e-14,1.49e-13,2.66e-14,0.62,57960.285
9.59e-15,2.4e-22,9.49e-16,1.8100000000000004e-13,5.61e-14,4.1e-14,0.6,57960.287256944444
2.7699999999999996e-17,1.39e-14,2.55e-15,1.73e-13,1.82e-14,4.37e-14,0.55,57960.28834490741
4.42e-14,3.56e-16,8.59e-16,1.52e-13,1.56e-14,4.49e-14,0.56,57960.28954861111
4.93e-18,8.99e-14,8.92e-17,1.1400000000000002e-13,2.2200000000000001e-13,3.34e-14,0.79,57960.29064814815
1.13e-14,6.04e-14,3.96e-21,4.22e-14,9.62e-14,2.38e-14,0.53,57960.29282407407
4.5600000000000004e-17,8.990000000000001e-15,1.67e-20,4.02e-14,1.47e-13,2.63e-14,0.51,57960.295011574075
2.15e-21,3.01e-15,2.0500000000000002e-19,2.81e-14,7.8e-14,2.22e-14,0.37,57960.29724537037
2.0000000000000002e-21,9.73e-15,8.300000000000001e-20,3.84e-14,1.1e-13,1.9e-14,0.45,57960.29832175926
9.780000000000001e-19,1.25e-13,6.0799999999999994e-15,9.890000000000001e-15,1.92e-13,1.38e-14,0.67,57960.29945601852
9.02e-14,1.46e-14,6.4400000000000005e-15,5.69e-14,6.24e-14,2.47e-14,0.56,57960.300532407404
1.15e-13,6.39e-14,1.2e-14,1.0300000000000002e-13,3.57e-14,2.39e-14,0.68,57960.30266203704
1.23e-13,6.3e-14,3.35e-14,1.21e-13,3.81e-14,2.81e-14,0.74,57960.30373842592
1.3900000000000001e-13,7.89e-14,1.34e-14,7.16e-14,3.89e-14,1.97e-14,0.69,57960.30603009259
1.05e-13,1.67e-14,9.690000000000001e-15,1.42e-13,6.49e-14,2.94e-14,0.69,57960.307118055556
7.24e-18,5.59e-14,4.21e-20,5.63e-14,1.1400000000000002e-13,1.27e-14,0.53,57960.308229166665
1.05e-19,7.21e-14,7.31e-21,1.04e-13,1.4099999999999998e-13,2.24e-14,0.66,57960.309282407405
5.91e-18,3.78e-14,2.3899999999999998e-15,8.29e-14,7.82e-14,3.13e-14,0.53,57960.31033564815
1.19e-21,2.65e-14,5.85e-21,7.87e-14,6.67e-14,2.01e-14,0.47,57960.311423611114
1.49e-13,4.53e-14,6.06e-14,1.4800000000000003e-13,3.35e-14,2.33e-14,0.79,57960.31358796296
3.61e-22,1.64e-14,1.93e-14,1.2700000000000001e-13,1.41e-14,2.45e-14,0.48,57960.31584490741
4.41e-14,1.6e-14,4.07e-14,8.86e-14,1.96e-14,2.28e-14,0.52,57960.31689814815
1.6199999999999999e-15,1.56e-13,2.56e-14,1.06e-13,4.83e-15,2.23e-14,0.63,57960.318032407406
5.32e-17,2.59e-13,3.33e-14,5.02e-14,1.58e-14,1.74e-14,0.7,57960.319131944445
6.82e-14,4.3900000000000005e-13,1.02e-14,5.6e-14,1.27e-14,2.1e-14,0.94,57960.32144675926
3e-13,2.81e-13,5.03e-14,9.59e-14,1.37e-14,2.75e-14,1.08,57960.323645833334
4.84e-15,3.8799999999999996e-13,1.09e-14,9.77e-14,1.32e-15,2.78e-14,0.86,57960.32472222222
1.1199999999999999e-13,1.0800000000000002e-13,6.02e-14,1.26e-13,2.16e-14,2.2e-14,0.78,57960.32699074074
2.6400000000000004e-13,1.6800000000000002e-13,3.44e-14,1.3e-13,6.61e-15,3.31e-14,0.96,57960.328148148146
9.56e-18,2.49e-13,6.909999999999999e-15,5.54e-14,6.43e-14,1.86e-14,0.72,57960.33038194444
1.34e-13,3.34e-13,8.26e-14,3.36e-14,6.57e-14,1.26e-14,0.99,57960.33256944444
6.6e-17,4.0299999999999995e-13,3.6200000000000004e-15,9.04e-14,5.98e-14,2.35e-14,0.91,57960.33366898148
1.02e-13,3.07e-13,3.12e-15,7.77e-14,5.14e-14,2.25e-14,0.89,57960.33599537037
5.07e-13,4.1399999999999995e-13,2.55e-16,1.3e-13,8.710000000000001e-16,1.94e-14,1.32,57960.33824074074
2.29e-18,3.45e-13,3.01e-14,1.4800000000000003e-13,1.07e-14,1.35e-14,0.88,57960.33940972222
4.11e-13,4.3000000000000004e-13,1.13e-14,8.15e-14,2.36e-14,1.67e-14,1.24,57960.34054398148
4.58e-13,6.02e-13,1.15e-13,1.1400000000000002e-13,1.87e-14,2.03e-14,1.5,57960.34276620371
5.9399999999999995e-15,8.229999999999999e-13,2e-14,1.26e-13,1.5e-22,1.79e-14,1.26,57960.34505787037
1.4800000000000003e-13,4.970000000000001e-13,1.3300000000000001e-15,1.04e-13,1.31e-21,2.25e-14,1.08,57960.346134259256
4.32e-15,1.07e-12,7.98e-15,1.57e-14,1.24e-15,1.53e-14,1.35,57960.34831018518
7.75e-13,4.820000000000001e-13,1.34e-13,7.07e-15,1.0099999999999999e-23,1.87e-14,1.56,57960.34943287037
8.77e-16,7.73e-13,6.39e-15,2.45e-14,5.87e-15,1.43e-14,1.12,57960.353321759256
7.54e-13,2.12e-13,1.15e-13,4.77e-14,1.38e-14,1.21e-14,1.38,57960.355578703704
1.55e-14,1.73e-13,5.4e-14,7.72e-14,5.5200000000000006e-15,1.05e-14,0.66,57960.35665509259
2.14e-17,2.3100000000000003e-13,3.61e-14,1.02e-13,2.31e-22,1.27e-14,0.71,57960.359398148146
4.970000000000001e-13,1.29e-13,1.6e-13,3.34e-14,1.23e-15,1.54e-14,1.13,57960.361655092594
1.7399999999999999e-15,3.4899999999999993e-13,5.44e-14,8.57e-14,7.43e-18,1.41e-14,0.84,57960.36277777778
2.27e-13,7.18e-13,5.85e-15,1.24e-13,1.86e-21,1.82e-14,1.33,57960.3650462963
3.9e-13,2.34e-13,6.3e-14,7.94e-14,8.34e-15,1.91e-14,1.1,57960.367210648146
7.94e-14,8.56e-14,6.59e-14,7.02e-14,1.64e-14,7.82e-15,0.65,57960.37428240741
8.85e-14,1.4300000000000002e-13,6.88e-14,3.91e-14,1.86e-14,9.65e-15,0.7,57960.37541666667
1.1900000000000002e-13,1.6399999999999998e-13,9.19e-14,6.22e-14,2.88e-14,9.99e-15,0.81,57960.37766203703
6.39e-14,2.6899999999999996e-13,7.71e-14,2.37e-14,3.72e-14,7.58e-15,0.82,57960.37873842593
8.57e-14,2.2100000000000002e-13,9.53e-14,5.57e-14,4.23e-14,9.94e-15,0.85,57960.3809375
2.33e-13,2.26e-13,1.01e-13,3.62e-14,4.93e-14,9.79e-15,0.99,57960.383263888885
3.5499999999999995e-13,1.65e-13,7.65e-14,5.74e-14,2.57e-14,8.2e-15,1.02,57960.384363425925
4.3900000000000005e-13,2.9299999999999996e-13,1.91e-14,1.1199999999999999e-13,1.91e-14,1.63e-14,1.19,57960.386655092596
8.240000000000001e-13,4.4499999999999997e-13,5.8e-15,4.46e-14,4.53e-14,8.15e-15,1.54,57960.3878125
2.94e-13,3.05e-13,9.05e-14,7.18e-14,2.82e-14,1.29e-14,1.11,57960.390173611115
4.08e-13,3.1e-13,9.64e-14,7.16e-14,2.45e-14,1.38e-14,1.21,57960.39125
2.9199999999999997e-13,2.2100000000000002e-13,8.92e-14,5.96e-14,2.1e-14,1.21e-14,1.02,57960.39363425926
