file,strehl,rms_err,fwhm,mjd,epoch,AIRMASS,ITIME,COADDS,FWINAME,AZ,DMGAIN,DTGAIN,XREF,YREF,XSTREHL,YSTREHL,WSFRRT,AOLBFWHM,LSAMPPWR,LGRMSWF,AOAOAMED,TUBETEMP,telem_file,telem_mjd,rms_mean,rms_std,mass_mjd,dimm_mjd,masspro_mjd,cfht_mjd,mass,dimm,masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,wind_speed,wind_direction,temperature,relative_humidity,pressure
c0077.fits,0.364,339.7,58.87,53212.34642,04jullgs,1.53088,0.181,50,Kp,188.1881,0.50,0.450,723.372,514.253,707.522,810.593,150,,,,160,1.98602,,,,,,,,53212.34722222222,,,,,,,,,,13.04,89.0,2.4,10.0,617.0
c0078.fits,0.37,337.0,57.58,53212.3472,04jullgs,1.53208,0.181,50,Kp,188.51157,0.50,0.450,723.584,514.732,707.685,810.952,150,,,,146,1.99841,,,,,,,,53212.34722222222,,,,,,,,,,13.04,89.0,2.4,10.0,617.0
c0079.fits,0.392,327.4,56.21,53212.3483,04jullgs,1.53385,0.181,50,Kp,188.96341,0.50,0.450,696.684,539.536,680.870,835.693,150,,,,148,1.97936,,,,,,,,53212.34722222222,,,,,,,,,,13.04,89.0,2.4,10.0,617.0
c0080.fits,0.377,333.9,58.13,53212.3486,04jullgs,1.53433,0.181,50,Kp,189.08304,0.50,0.450,696.926,539.362,680.940,835.474,150,,,,161,1.98788,,,,,,,,53212.34722222222,,,,,,,,,,13.04,89.0,2.4,10.0,617.0
c0081.fits,0.221,415.4,78.75,53212.34923,04jullgs,1.53541,0.181,50,Kp,189.34196,0.50,0.450,743.234,487.840,727.241,783.983,150,,,,156,1.99569,,,,,,,,53212.350694444445,,,,,,,,,,12.17,91.0,2.5,10.0,617.0
c0084.fits,0.36200000000000004,340.7,58.05,53212.35034,04jullgs,1.53737,0.181,50,Kp,189.7968,0.60,0.450,746.704,539.193,730.747,835.206,150,,,,143,1.99641,,,,,,,,53212.350694444445,,,,,,,,,,12.17,91.0,2.5,10.0,617.0
c0085.fits,0.322,360.1,60.09,53212.350860000006,04jullgs,1.53832,0.181,50,Kp,190.00889,0.60,0.450,697.125,489.181,681.414,785.297,150,,,,166,1.98476,,,,,,,,53212.350694444445,,,,,,,,,,12.17,91.0,2.5,10.0,617.0
c0086.fits,0.408,320.4,54.75,53212.35115,04jullgs,1.53887,0.181,50,Kp,190.12755,0.60,0.450,697.071,489.770,681.190,785.751,150,,,,166,1.99337,,,,,,,,53212.350694444445,,,,,,,,,,12.17,91.0,2.5,10.0,617.0
c0113.fits,0.32,361.1,59.66,53212.37502,04jullgs,1.60805,0.181,50,Kp,199.49884,0.60,0.450,710.961,518.185,695.099,814.546,150,,,,155,1.92205,,,,,,,,53212.375,,,,,,,,,,9.57,96.0,2.7,9.0,616.9
c0114.fits,0.293,374.8,62.18,53212.37543,04jullgs,1.60972,0.181,50,Kp,199.65544,0.60,0.450,710.217,517.854,694.233,814.012,150,,,,145,1.91418,,,,,,,,53212.375,,,,,,,,,,9.57,96.0,2.7,9.0,616.9
c0073.fits,0.12300000000000001,489.2,99.62,53581.29555,05jullgs,1.53285,2.8,10,Kp,171.27194,0.60,0.500,632.623,589.468,566.977,879.363,201,,14.333334,122.0,140,1.49049,,,,,,,,53581.29513888888,,,,,,,,,,10.43,122.0,1.1,11.0,615.8
c0076.fits,0.102,510.5,100.18,53581.29847,05jullgs,1.52852,2.8,10,Kp,172.47333,0.60,0.500,634.201,590.644,568.751,880.338,201,,13.952381,181.5,159,1.45776,,,,,,,,53581.29861111112,,,,,,,,,,10.43,120.0,1.2,12.0,615.8
c0079.fits,0.133,480.1,94.29,53581.30105,05jullgs,1.52525,2.8,10,Kp,173.543,0.60,0.500,634.688,590.708,569.050,880.558,201,,17.142857,151.4,142,1.44362,,,,,,,,53581.30208333334,,,,,,,,,,10.43,119.0,1.2,12.0,615.8
c0082.fits,0.126,487.0,98.41,53581.30361,05jullgs,1.52253,2.8,10,Kp,174.60336,0.60,0.500,634.761,589.860,569.225,879.748,201,,14.095238,145.2,107,1.41559,,,,,,,,53581.30208333334,,,,,,,,,,10.43,119.0,1.2,12.0,615.8
c0085.fits,0.145,470.1,87.87,53581.30612,05jullgs,1.52034,2.8,10,Kp,175.64831,0.60,0.500,633.339,589.131,567.740,878.985,201,,13.714286,148.0,110,1.40373,,,,,,,,53581.305555555555,,,,,,,,,,9.57,124.0,1.3,12.0,615.8
c0088.fits,0.098,515.8,110.6,53581.30968,05jullgs,1.51803,2.8,10,Kp,177.13685,0.60,0.500,631.143,588.177,565.604,878.010,301,,13.857143,421.1,102,1.38816,,,,,,,,53581.30902777778,,,,,,,,,,6.96,129.0,1.2,11.0,615.9
c0091.fits,0.114,497.8,101.33,53581.31217,05jullgs,1.517,2.8,10,Kp,178.18038,0.60,0.500,632.066,589.145,566.475,879.022,301,,14.047619,124.1,119,1.37012,,,,,,,,53581.3125,,,,,,,,,,9.57,126.0,1.2,10.0,615.9
c0094.fits,0.11800000000000001,494.6,96.84,53581.3149,05jullgs,1.51639,2.8,10,Kp,179.32083,0.60,0.500,636.383,589.540,570.842,879.543,301,,15.619048,186.6,122,1.36851,,,,,,,,53581.31597222222,,,,,,,,,,11.3,127.0,1.3,10.0,615.8
c0097.fits,0.129,483.6,93.49,53581.31744,05jullgs,1.51633,2.8,10,Kp,180.38795,0.60,0.500,637.732,590.771,571.961,880.844,301,,16.428572,109.7,179,1.35966,,,,,,,,53581.31597222222,,,,,,,,,,11.3,127.0,1.3,10.0,615.8
c0100.fits,0.09,524.6,112.72,53581.31995,05jullgs,1.51674,2.8,10,Kp,181.43794,0.45,0.500,633.834,590.064,568.239,879.884,301,,14.000000,139.7,77,1.34228,,,,,,,,53581.319444444445,,,,,,,,,,8.7,116.0,1.3,12.0,615.8
c0103.fits,0.154,462.6,86.08,53581.32241,05jullgs,1.51761,2.8,10,Kp,182.47001,0.45,0.500,635.566,589.986,570.019,879.963,301,,15.190476,150.4,110,1.32799,,,,,,,,53581.32291666666,,,,,,,,,,9.57,128.0,1.4,10.0,615.8
c0106.fits,0.133,480.6,85.61,53581.32501,05jullgs,1.51902,2.8,10,Kp,183.55861,0.45,0.500,638.685,590.193,572.766,880.037,301,,11.714286,211.3,98,1.32112,,,,,,,,53581.32638888888,,,,,,,,,,10.43,127.0,1.4,10.0,615.9
c0109.fits,0.14400000000000002,470.4,88.27,53581.32759,05jullgs,1.52091,2.8,10,Kp,184.63378,0.45,0.500,636.514,589.903,570.886,879.941,301,,11.714286,148.6,105,1.30516,,,,,,,,53581.32638888888,,,,,,,,,,10.43,127.0,1.4,10.0,615.9
c0112.fits,0.11900000000000001,492.9,93.45,53581.33006,05jullgs,1.5232,2.8,10,Kp,185.66072,0.45,0.500,636.589,590.521,570.910,880.573,301,,10.238095,159.2,71,1.28903,,,,,,,,53581.32986111112,,,,,,,,,,11.3,132.0,1.3,10.0,615.8
c0115.fits,0.111,501.1,99.71,53581.33253,05jullgs,1.52597,2.8,10,Kp,186.68824,0.45,0.500,637.400,589.577,571.730,879.458,301,,10.238095,169.8,83,1.30489,,,,,,,,53581.33333333334,,,,,,,,,,10.43,129.0,1.3,10.0,615.8
c0121.fits,0.14,473.9,89.7,53581.33758,05jullgs,1.53308,2.8,10,Kp,188.7704,0.45,0.500,634.980,589.356,569.417,879.299,301,,16.000000,213.3,126,1.2852,,,,,,,,53581.336805555555,,,,,,,,,,9.57,129.0,1.3,10.0,615.8
c0124.fits,0.10300000000000001,509.4,115.97,53581.34005,05jullgs,1.53728,2.8,10,Kp,189.77889,0.40,0.500,636.383,590.114,570.661,879.953,301,,15.047619,141.3,85,1.27644,,,,,,,,53581.34027777778,,,,,,,,,,10.43,133.0,1.4,10.0,615.8
c0127.fits,0.135,478.6,89.89,53581.34257,05jullgs,1.54209,2.8,10,Kp,190.8057,0.40,0.500,638.211,589.997,572.428,879.840,301,,13.142857,173.0,118,1.28349,,,,,,,,53581.34375,,,,,,,,,,9.57,128.0,1.3,10.0,615.9
c0133.fits,0.066,557.5,168.9,53581.347780000004,05jullgs,1.55367,2.8,10,Kp,192.90212,0.40,0.500,633.240,586.550,567.825,874.883,301,,17.523810,298.4,128,1.26996,,,,,,,,53581.34722222222,,,,,,,,,,12.17,130.0,1.3,10.0,615.8
c0136.fits,0.11800000000000001,493.8,97.34,53581.35024,05jullgs,1.55992,2.8,10,Kp,193.8807,0.40,0.500,637.599,589.804,571.854,878.903,301,,13.714286,225.8,100,1.24506,,,,,,,,53581.350694444445,,,,,,,,,,10.43,117.0,1.3,10.0,615.8
